title,date
Republican former Senator Bob Dole gets visit from Biden after cancer diagnosis,Feb 20 2021
U.S. charges nine Oath Keepers with conspiring to storm Capitol,Feb 20 2021
U.S. administers 61.3 million doses of COVID-19 vaccines: CDC,Feb 20 2021
"U.S. unwinds Trump 'remain in Mexico' program, mulls flights for asylum seekers",Feb 20 2021
"Cold, lack of water overwhelm Texas hospitals more than COVID-19 did",Feb 20 2021
Exclusive: White House working with Facebook and Twitter to tackle anti-vaxxers,Feb 20 2021
"Japan air force officer, U.S. instructor killed in U.S. plane crash",Feb 20 2021
Texas water shortages persist; 'fragile' power grid returns to life,Feb 19 2021
"Biden plans Texas visit, pushes for speedy disaster funds in winter storm crisis",Feb 19 2021
Pfizer promises to double supply as Biden pushes for quicker vaccine rollout,Feb 19 2021
Voting rights advocates decry 'devastating' Georgia measure limiting ballot access,Feb 19 2021
U.S. alleges Stanford researcher concealed connection to Chinese army,Feb 19 2021
"Pfizer seeks to store vaccine at higher temperatures, easing logistics",Feb 19 2021
U.S. Capitol Police investigating role of 35 officers during January 6 riot,Feb 19 2021
U.S. House Democrats advance $1.9 trillion COVID-19 aid bill,Feb 19 2021
Grand jury indicts nine Oath Keepers for alleged role in storming U.S. Capitol,Feb 19 2021
"Biden's attorney general pick Garland to prioritize civil rights, combating domestic terror",Feb 19 2021
"U.S. seeks to fill 6,000 airport screening positions ahead of summer travel",Feb 19 2021
Marilyn Manson faces LA sheriff investigation after abuse allegations,Feb 19 2021
U.S. storms delay COVID-19 vaccines in all 50 states: White House,Feb 19 2021
"First month of shots find no safety issues with Pfizer/BioNTech, Moderna vaccines: U.S. data",Feb 19 2021
Corporate lawyer in U.S. college admissions scandals gets two-year law license suspension,Feb 19 2021
"As U.S. pork plant speeds up slaughtering, workers report more injuries",Feb 19 2021
"Factbox: Over 157,000 in Texas still without power from winter storm",Feb 19 2021
"South Carolina passes abortion ban, Planned Parenthood sues",Feb 19 2021
Trump’s former fixer Cohen interviewed by Manhattan DA’s office and newly hired litigator,Feb 19 2021
"Texas power plants back online, but 325,000 households still in the dark",Feb 19 2021
White House says Texas winter storm likely due to climate change,Feb 19 2021
"After blizzard of criticism over Mexico trip, Senator Ted Cruz flies back to frozen Texas",Feb 19 2021
Democrats roll out Biden immigration bill without Republican backers,Feb 18 2021
Two people found dead after Dallas police shot responding to call,Feb 18 2021
"Texas energy crisis extends to sixth day, spills over to Mexico",Feb 18 2021
"U.S. immigration agents ordered to focus on serious criminals, recent border crossers",Feb 18 2021
Texas governor asks legislature to mandate winterization of generators,Feb 18 2021
